transaction_id,seller_id,transaction_date,month,gmv,commission_rate,commission_amount,shipping_fee,refund_amount,discrepancy_amount,net_payout,status,payment_method
TXN0000001,SLR00014,2024-12-10,2024-12,190.12,0.12,22.81,100,0.0,0.0,67.31,Processed,NEFT
TXN0000002,SLR00021,2024-10-20,2024-10,124.74,0.15,18.71,0,0.0,0.0,106.03,Processed,UPI
TXN0000003,SLR00048,2024-11-04,2024-11,10231.07,0.15,1534.66,60,0.0,0.0,8636.41,Processed,NEFT
TXN0000004,SLR00020,2024-11-06,2024-11,1281.29,0.12,153.75,40,0.0,0.0,1087.54,Processed,IMPS
TXN0000005,SLR00120,2024-12-17,2024-12,1781.49,0.15,267.22,0,0.0,0.0,1514.27,Processed,UPI
TXN0000006,SLR00008,2024-10-27,2024-10,366.96,0.08,29.36,0,0.0,0.0,337.6,Processed,NEFT
TXN0000007,SLR00007,2024-12-31,2024-12,3135.76,0.1,313.58,60,0.0,0.0,2762.18,Processed,UPI
TXN0000008,SLR00067,2024-11-13,2024-11,2525.43,0.12,303.05,100,0.0,0.0,2122.38,Processed,UPI
TXN0000009,SLR00017,2024-10-27,2024-10,418.67,0.12,50.24,0,339.67,0.0,28.76,Processed,RTGS
TXN0000010,SLR00033,2024-12-27,2024-12,307.54,0.1,30.75,0,0.0,0.0,276.79,Processed,IMPS
TXN0000011,SLR00048,2024-12-21,2024-12,455.3,0.15,68.3,100,0.0,0.0,287.0,Processed,IMPS
TXN0000012,SLR00076,2024-11-03,2024-11,1060.04,0.15,159.01,0,0.0,0.0,901.03,Processed,UPI
TXN0000013,SLR00059,2024-12-04,2024-12,1340.14,0.1,134.01,60,0.0,0.0,1146.13,Processed,UPI
TXN0000014,SLR00115,2024-12-02,2024-12,1148.34,0.15,172.25,60,1129.62,0.0,-213.53,On Hold,IMPS
TXN0000015,SLR00086,2024-11-02,2024-11,5210.73,0.12,625.29,0,0.0,0.0,4585.44,Processed,NEFT
TXN0000016,SLR00119,2024-10-07,2024-10,465.01,0.08,37.2,60,0.0,0.0,367.81,Pending,IMPS
TXN0000017,SLR00022,2024-10-12,2024-10,297.68,0.12,35.72,100,0.0,0.0,161.96,Processed,NEFT
TXN0000018,SLR00110,2024-12-21,2024-12,1096.76,0.1,109.68,40,0.0,0.0,947.08,Pending,NEFT
TXN0000019,SLR00030,2024-11-24,2024-11,143.78,0.1,14.38,60,0.0,0.0,69.4,Processed,NEFT
TXN0000020,SLR00038,2024-11-05,2024-11,2527.24,0.1,252.72,60,0.0,0.0,2214.52,Pending,NEFT
TXN0000021,SLR00102,2024-10-06,2024-10,1233.43,0.15,185.01,40,0.0,0.0,1008.42,Processed,RTGS
TXN0000022,SLR00109,2024-10-01,2024-10,730.96,0.12,87.72,0,0.0,0.0,643.24,Processed,IMPS
TXN0000023,SLR00051,2024-11-12,2024-11,683.85,0.08,54.71,60,0.0,0.0,569.14,Processed,RTGS
TXN0000024,SLR00054,2024-10-17,2024-10,3268.2,0.08,261.46,40,0.0,0.0,2966.74,Processed,UPI
TXN0000025,SLR00008,2024-12-21,2024-12,3145.66,0.08,251.65,0,0.0,0.0,2894.01,Processed,NEFT
TXN0000026,SLR00027,2024-11-03,2024-11,815.95,0.12,97.91,100,0.0,0.0,618.04,Processed,UPI
TXN0000027,SLR00027,2024-10-21,2024-10,2230.82,0.12,267.7,80,0.0,0.0,1883.12,Processed,IMPS
TXN0000028,SLR00098,2024-11-26,2024-11,3090.37,0.15,463.56,100,0.0,0.0,2526.81,Processed,IMPS
TXN0000029,SLR00021,2024-12-10,2024-12,1640.3,0.15,246.04,0,0.0,0.0,1394.26,Processed,IMPS
TXN0000030,SLR00030,2024-12-30,2024-12,857.0,0.1,85.7,80,0.0,0.0,691.3,Processed,RTGS
TXN0000031,SLR00097,2024-11-24,2024-11,1732.64,0.15,259.9,60,0.0,0.0,1412.74,Processed,NEFT
TXN0000032,SLR00028,2024-12-11,2024-12,315.16,0.15,47.27,100,0.0,0.0,167.89,Processed,IMPS
TXN0000033,SLR00111,2024-10-02,2024-10,1194.31,0.12,143.32,100,0.0,0.0,950.99,Processed,NEFT
TXN0000034,SLR00064,2024-10-15,2024-10,829.02,0.12,99.48,100,0.0,0.0,629.54,Processed,NEFT
TXN0000035,SLR00097,2024-10-10,2024-10,686.88,0.15,103.03,100,0.0,0.0,483.85,Processed,NEFT
TXN0000036,SLR00069,2024-12-28,2024-12,138.13,0.1,13.81,0,0.0,0.0,124.32,Processed,RTGS
TXN0000037,SLR00061,2024-10-20,2024-10,319.54,0.12,38.34,60,0.0,0.0,221.2,Processed,NEFT
